# Directed graph: as-caida20071105.txt
# The CAIDA AS Relationships Dataset, from 11 05 2007
# Relationships:	
           -1 (<FromNodeId> is a customer of <ToNodeId>)
# 			1 (<FromNodeId> is a provider of <ToNodeId>)
# 			0 (<FromNodeId> and <ToNodeId> are peers)
# 			2 (<FromNodeId> and <ToNodeId> are siblings (the same organization).)
# Nodes:26475	Edges: 106762
# FromNodeId        ToNodeId	Relationship
8563	3216	-1
8563	21482	1
8563	4323	-1
28801	8422	-1
28801	8220	-1
8434	39052	1
8434	2119	-1
8434	41060	1
8434	16150	-1
8434	30798	1
8434	39242	1
8434	35565	1
8434	28942	1
8434	24959	1
8434	3303	0
8434	34541	1
8434	39324	1
8434	34244	1
8434	43098	1
8434	13237	0
8434	41980	1
8434	21171	1
8434	34946	1
8434	28908	1
8434	15950	1
8434	12384	1
8434	702	0
8434	174	-1
8434	21200	1
8434	38956	1
8434	13243	1
8434	24713	1
8434	28726	1
8434	2603	1
8434	29217	1
8434	25475	1
8434	13177	1
8434	25387	1
8434	41808	1
8434	3356	-1
8434	25217	1
8434	29422	1
5006	20283	1
5006	11619	1
5006	21902	1
5006	25637	1
5006	17162	1
5006	18581	1
5006	22506	1
5006	16904	1
5006	21730	1
5006	32461	1
5006	14219	1
5006	7018	-1
5006	1347	2
5006	32664	1
5006	36203	1
5006	23359	1
5006	22402	1
5006	18778	1
5006	19039	1
5006	21951	1
5006	10337	1
5006	29847	1
5006	18699	1
5006	32110	1
5006	7973	1
5006	36784	1
5006	18723	1
5006	33362	1
5006	40328	1
5006	30220	1
5006	10765	1
5006	78	1
5006	15011	1
5006	33455	1
5006	25720	1
5006	701	-1
5006	15100	1
5006	21573	1
5006	23377	1
5006	8148	1
5006	26557	1
5006	14738	1
5006	555	1
5006	3549	-1
5006	23465	1
5006	11332	1
5006	11544	1
42368	20485	-1
42517	25525	-1
